지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
169,1997-01-01,,흑산도,전라남도 신안군 흑산면 예리,흑산도기상대(169),34.6872,125.4511,75.12,78,1.5,15.5,0.6
170,1971-01-31,,완도,전라남도 완도군 군외면 불목리,목포기상대(165),34.3959,126.7018,35.37,36.7,1.5,10,0.8
172,2010-12-01,,고창,전북특별자치도 고창군 대산면 매산리,전주기상대(146),35.3482,126.599,52.42,53.5,1.8,10,1.7
174,2011-04-01,,순천,전라남도 순천시 승주읍 평중리,광주지방기상청(156),35.0204,127.3694,165,166.5,1.5,10,0.8
175,2001-11-03,2019-08-01,진도(첨찰산),전라남도 진도군 의신면 사천리,목포기상대(165),34.4721,126.3238,478.51,479.76,1.5,10,0.8
176,2013-10-10,2015-06-11,대구(기),대구광역시 동구 효목동,대구기상대(176),35.8782,128.6522,49,50.2,1.8,10,0.6
177,2017-10-31,,홍성,충청남도 홍성군 광천읍 월림리,,36.6576,126.6877,27.74,28.7,1.5,10,1.5
177,2015-11-03,2017-10-31,홍성(예),충청남도 홍성군 광천읍 월림리,홍성기상대(서산 129),36.6575,126.6877,20,,,10,
181,2023-05-01,,서청주,충청북도 청주시흥덕구 강내면 학천리,청주기상대(131),36.6399,127.3846,33.55,33.55,1.5,10,0.5
181,2022-01-21,2023-05-01,서청주(예),,청주기상대(131),36.6397,127.3969,32,32,1.5,10,0.5
184,1923-05-01,,제주,제주특별자치도 제주시 건입동,제주지방기상청(184),33.5141,126.5297,20.79,21.99,1.7,15,1.5
185,1988-01-01,,고산,제주특별자치도 제주시 한경면 고산리,제주지방기상청(184),33.2938,126.1628,71.39,72.49,1.7,10,1.5
187,2007-03-27,2008-09-04,성산,제주특별자치도 서귀포시 성산읍 신산리,,33.3868,126.8804,18,20.48,1.8,10.2,0.6
188,2008-09-04,,성산,제주특별자치도 서귀포시 성산읍 신산리,제주지방기상청(184),33.3868,126.8802,20.34,21.74,1.7,10,1.5
188,1971-07-15,2008-09-04,성산,제주특별자치도 서귀포시 성산읍 신산리,성산지역기상서비스센터(188),33.3868,126.8804,18.4,20.1,1.5,10,0.6
189,2010-11-09,,서귀포,제주특별자치도 서귀포시 서귀동,제주지방기상청(184),33.2462,126.5653,51.86,53.16,1.7,10,1.5
189,1961-01-01,2010-11-09,서귀포,제주특별자치도 서귀포시 서귀동,서귀포지역기상서비스센터(189),33.2461,126.5653,50.4,51.6,1.8,10,0.6
192,2005-11-23,,진주,경상남도 진주시 평거동,창원기상대(155),35.1638,128.04,29.35,31.6,1.8,10,1.3
192,1969-03-01,2005-11-23,진주,경상남도 진주시 초전동,,35.2084,128.1191,21.32,22.64,1.5,10,0.6
201,1972-01-11,,강화,인천광역시 강화군 불은면 삼성리,인천기상대(112),37.7074,126.4463,47.84,49.24,1.6,10,0.6
202,1972-01-11,,양평,경기도 양평군 양평읍 양근리,수도권기상청(119),37.4886,127.4945,47.26,48.76,1.9,10,0.6
203,1972-01-11,,이천,경기도 이천시 부발읍 신하리,수도권기상청(119),37.264,127.4842,80.09,81.59,1.8,10,0.6
211,2025-07-30,,인제,강원특별자치도 인제군 인제읍 남북리,강릉(구 105),38.0599,128.1681,202,203,1.5,10,0.5
211,1971-12-01,2025-07-30,인제,강원특별자치도 인제군 인제읍 남북리,인제자동기상관측소(211),38.0599,128.1671,201.78,202.78,1.5,10,0.5
212,1971-09-27,,홍천,강원특별자치도 홍천군 홍천읍 연봉리,춘천기상대(101),37.6836,127.8804,140.2,141.2,1.6,13,0.5
214,1971-02-28,1996-01-01,삼척,강원특별자치도,,37.3667,129.2167,3.9,5.4,1.5,10,0.6
216,1985-08-01,,태백,(산지)강원특별자치도 태백시 황지동,태백자동기상관측소(216),37.1704,128.9893,714.45,715.25,1.6,16,0.6
217,2025-12-17,,정선군,강원특별자치도 정선군 정선읍 애산리,강릉(구 105),37.3807,128.6731,312,312,1.5,10,0.5
217,2023-07-01,2025-12-17,정선군,강원특별자치도 정선군 정선읍 애산리,강릉(구 105),37.3773,128.6735,312,312,1.5,10,0.5
217,2010-08-06,2023-07-01,정선군,강원특별자치도 정선군 정선읍 북실리,,37.3815,128.6459,307.58,309,1.8,10,0.6
221,1972-01-11,,제천,충청북도 제천시 신월동,청주기상대(131),37.1593,128.1943,264.62,265.39,1.5,10,0.5
226,1972-01-09,,보은,충청북도 보은군 보은읍 성주리,청주기상대(131),36.4876,127.7342,171.31,172.71,1.5,10,0.5
232,2016-04-01,,천안,충청남도 천안시 동남구 병천면 병천리,대전지방기상청(133),36.7622,127.2928,84.78,83,1.8,10,1.2
232,1972-01-08,2016-04-01,천안,충청남도 천안시 동남구 신방동,천안지역기상서비스센터(232),36.7796,127.1213,21.3,22.6,1.8,9.5,0.6
235,1972-01-24,,보령,충청남도 보령시 요암동,대전지방기상청(133),36.3272,126.5574,9.98,17,1.6,10,1.1
236,1972-01-09,,부여,충청남도 부여군 부여읍 가탑리,대전지방기상청(133),36.2724,126.9208,13.42,14.88,1.7,10,0.5
238,1972-01-09,,금산,충청남도 금산군 금산읍 아인리,대전지방기상청(133),36.1056,127.4818,170.17,171.07,1.5,10,0.5
239,2020-04-01,,세종,세종특별자치시 새롬동,대전지방기상청(133),36.4852,127.2444,89.5,95,1.6,10,1
239,2019-05-31,2020-04-01,세종(예),세종특별자치시 새롬동,대전지방기상청(133),36.4864,127.235,94,95,1.6,10,1
243,1972-03-01,,부안,전북특별자치도 부안군 행안면 역리,전주기상대(146),35.7296,126.7166,12.2,13.5,1.8,10,0.6
244,1970-06-02,,임실,전북특별자치도 임실군 임실읍 이도리,전주기상대(146),35.612,127.2856,247.04,248.44,1.8,10,0.6
245,2016-11-01,,정읍,전북특별자치도 정읍시 상평동,전주기상대(146),35.5634,126.839,68.7,70.97,1.9,10,1
245,1970-01-05,2016-11-01,정읍,전라북도 정읍시 상동,전주기상대(146),35.5632,126.8661,44.6,46.1,1.7,10,0.6
247,2017-08-25,,남원,전북특별자치도 남원시 도통동,전주기상대(146),35.4213,127.3965,133.49,91.8,1.7,10,0.7
247,2013-08-01,2017-08-25,남원,전라북도 남원시 도통동,전주기상대(146),35.4023,127.3967,127.48,91.8,1.7,10,0.7
247,1972-01-04,2013-08-01,남원,전라북도 남원시 대산면 수덕리,남원기상대(247),35.4054,127.333,90.29,94.7,1.8,10,0.6
248,1988-01-01,,장수,전북특별자치도 장수군 장수읍 선창리,전주기상대(146),35.657,127.5203,406.87,408,1.6,10,0.5
251,2010-12-01,,고창군,전북특별자치도 고창군 고창읍 덕산리,전주기상대(146),35.4266,126.697,58.84,55.5,1.7,10,0.6
251,2008-11-28,2010-12-01,고창,전라북도 고창군 고창읍 덕산리,고창기상대(미사용 251),35.4266,126.697,54,55.3,1.8,10,0.7
251,2007-11-01,2008-11-28,고창,전라북도 고창군 고창읍 읍내리,고창기상대(미사용 251),35.4251,126.699,54.02,55.32,1.5,10,0.5
252,2007-11-26,,영광군,전라남도 영광군 군서면 만곡리,광주지방기상청(156),35.2837,126.4778,37.2,38.7,1.5,13,0.6
253,2008-02-13,,김해시,경상남도 김해시 부원동,부산지방기상청(159),35.2298,128.8908,54.59,54.6,1.7,10,0.5
254,2008-07-16,,순창군,전북특별자치도 순창군 순창읍 교성리,전주기상대(146),35.3713,127.1286,129.38,128.4,1.6,10,0.6
255,2010-07-22,,북창원,경상남도 창원시 성산구 내동,창원기상대(155),35.2266,128.6726,50.95,50.3,1.8,10,0.7
255,2008-12-26,2010-07-22,창원시,경상남도 창원시 성산구 내동,,35.2264,128.6725,46.77,48.12,1.8,10,0.6
256,2011-04-01,2012-07-02,주암,전라남도 순천시 주암면 구산리,순천기상대(174),35.075,127.2391,74.63,75.4,1.5,14,0.6
256,1972-01-21,2011-04-01,순천,전라남도 순천시 주암면 구산리,순천기상대(미사용 256),35.075,127.2391,74.4,75.4,1.5,14,0.6
257,2008-12-26,,양산시,경상남도 양산시 동면 금산리,울산기상대(152),35.3074,129.0201,6.29,16.1,1.8,10,0.6
258,2010-03-11,,보성군,전라남도 보성군 득량면 예당리,여수기상대(168),34.7634,127.2123,1.41,4.3,1.5,10,0.6
258,2010-02-08,2010-03-11,보성군,전라남도 보성군 득량면 예당리,여수기상대(168),34.7633,127.2123,2.8,,,,
259,2021-02-25,,강진군,전라남도 강진군 강진읍 남포리,목포기상대(165),34.6446,126.7841,16,20,1.5,10,0.6
259,2009-11-10,2021-02-25,강진군,전라남도 강진군 강진읍 남포리,목포기상대(165),34.6289,126.7672,9.95,13.9,1.5,10,0.6
260,1972-01-21,,장흥,전라남도 장흥군 장흥읍 축내리,목포기상대(165),34.6889,126.9195,43.99,46.3,1.5,10,0.8
261,1971-02-03,,해남,전라남도 해남군 해남읍 남천리,목포기상대(165),34.5538,126.5691,16.36,17.91,1.5,10,0.8
262,2017-08-25,,고흥,전라남도 고흥군 고흥읍 행정리,여수기상대(168),34.6183,127.2757,51.91,53.31,1.5,10,0.8
262,1972-01-22,2017-08-25,고흥,전라남도 고흥군 고흥읍 행정리,여수기상대(168),34.6182,127.2757,53.12,54.6,1.5,10,0.6
263,2010-06-21,,의령군,경상남도 의령군 의령읍 무전리,창원기상대(155),35.3226,128.2881,14.1,14.9,2,10,0.6
264,2010-06-21,,함양군,경상남도 함양군 함양읍 용평리,창원기상대(155),35.5114,127.7454,152.07,152.5,1.8,10,0.6
265,1971-07-15,2007-03-27,성산포,제주특별자치도 서귀포시 성산읍 신산리,,33.3868,126.8804,18.62,20.48,1.8,10.2,0.6
266,2017-08-25,,광양시,전라남도 광양시 중동,광주지방기상청(156),34.9434,127.6914,88.21,87.9,1.7,10,0.6
266,2011-01-01,2017-08-25,광양시,전라남도 광양시 중동,광주지방기상청(156),34.943,127.691,80.9,82.4,1.7,10,0.6
268,2014-05-09,,진도군,전라남도 진도군 진도읍 남동리,목포기상대(165),34.473,126.2585,9.82,6.9,1.7,10,0.6
271,2020-12-04,,봉화,경상북도 봉화군 춘양면 의양리,안동기상대(136),36.9436,128.9145,324.67,326.22,1.9,10,0.6
271,1988-01-01,2020-12-04,봉화,경상북도 봉화군 춘양면 의양리,대구(구 143),36.9436,128.9145,324.67,326.22,1.9,10,0.6
272,1972-11-28,,영주,경상북도 영주시 풍기읍 성내리,안동기상대(136),36.8718,128.5169,211.32,212.78,1.91,10,0.58
273,2020-12-04,,문경,경상북도 문경시 유곡동,안동기상대(136),36.6273,128.1488,173.01,174.51,1.8,10,0.6
273,1973-01-01,2020-12-04,문경,경상북도 문경시 유곡동,대구(구 143),36.6273,128.1488,173.01,174.51,1.8,10,0.6
276,2020-12-04,,청송군,경상북도 청송군 청송읍,대구(구 143),36.4351,129.0401,208.65,210.2,1.75,10,0.5
276,2010-09-01,2020-12-04,청송군,경상북도 청송군 청송읍,안동기상대(136),36.4351,129.0401,208.65,210.2,1.75,10,0.5
277,1972-01-03,,영덕,경상북도 영덕군 영해면 성내리,포항기상대(138),36.5334,129.4093,40.71,42.01,1.7,10,0.6
278,1973-01-01,,의성,경상북도 의성군 의성읍 원당리,대구(구 143),36.3561,128.6886,81.44,82.94,1.7,10,0.6
279,1973-01-01,,구미,경상북도 구미시 남통동,대구(구 143),36.1306,128.3206,49.17,50.67,1.7,10,1.4
281,1972-01-21,,영천,경상북도 영천시 망정동,대구(구 143),35.9774,128.9514,96.12,97.62,1.7,10,0.5
283,2010-08-06,,경주시,경상북도 경주시 탑동,포항기상대(138),35.8174,129.2009,40.13,41.63,1.67,10,0.59
284,2011-03-04,,거창,경상남도 거창군 거창읍 정장리,울산기상대(152),35.6674,127.9099,228.45,227.3,1.5,10,1.3
284,1972-01-24,2011-03-04,거창,경상남도 거창군 거창읍 김천리,거창기상대(284),35.6712,127.911,221.4,222.6,1.5,10,0.5
285,1973-01-01,,합천,경상남도 합천군 합천읍 합천리,울산기상대(152),35.5651,128.1699,26.72,33.2,1.5,10,0.5
288,1973-01-01,,밀양,경상남도 밀양시 내이동,울산기상대(152),35.4915,128.7441,8.31,12.5,2,10,1.3
289,1972-03-30,,산청,경상남도 산청군 산청읍 지리,창원기상대(155),35.413,127.8791,138.22,138.8,1.6,10,0.6
294,1972-01-24,,거제,경상남도 거제시 장평동,부산지방기상청(159),34.8882,128.6046,44.83,46.7,1.7,10,0.6
295,1972-01-24,,남해,경상남도 남해군 이동면 다정리,부산지방기상청(159),34.8166,127.9264,45.71,47.01,1.8,10,0.8
296,2025-04-25,,북부산,부산광역시 강서구 대저1동,부산지방기상청(159),35.2178,128.9602,3,,,10,
